
                       NOMBRE                       | TIPODATO |                       VALOR                        | LONGITUD 
----------------------------------------------------|----------|----------------------------------------------------|----------
a1                                                  |   TIPONUM|                                                    |          
b1                                                  |   TIPONUM|                                                    |          
variable1                                           |   TIPOENT|                                                    |          
var1                                                |   TIPOENT|                                                    |          
p1                                                  |   TIPOCAD|                                                    |          
p2                                                  |   TIPOCAD|                                                    |          
p3                                                  |   TIPOCAD|                                                    |          
a                                                   |   TIPOENT|                                                    |          
b                                                   |   TIPOENT|                                                    |          
c                                                   |   TIPOENT|                                                    |          
d                                                   |   TIPOENT|                                                    |          
e                                                   |   TIPOENT|                                                    |          
x                                                   |   TIPOENT|                                                    |          
r                                                   |   TIPOENT|                                                    |          
j                                                   |   TIPOENT|                                                    |          
z                                                   |   TIPOENT|                                                    |          
f                                                   |   TIPOENT|                                                    |          
base                                                |   TIPOCAD|                                                    |          
y                                                   |   TIPOCAD|                                                    |          
_99999.99                                           |   TIPONUM|                                            99999.99|          
_99.                                                |   TIPONUM|                                                 99.|          
_.9999                                              |   TIPONUM|                                               .9999|          
_@sdADaSjfla%dfg                                    |   TIPOCAD|                                   "@sdADaSjfla%dfg"|        33
_asldk__fh_sjf                                      |   TIPOCAD|                                     "asldk  fh sjf"|        31
_27                                                 |   TIPOENT|                                                  27|          
_500                                                |   TIPOENT|                                                 500|          
_34                                                 |   TIPOENT|                                                  34|          
_3                                                  |   TIPOENT|                                                   3|          
_ewr                                                |   TIPOCAD|                                               "ewr"|         3
_a_es_mas_grande_que_b                              |   TIPOCAD|                             "a es mas grande que b"|       111
_a_es_mas_chico_o_igual_a_b                         |   TIPOCAD|                        "a es mas chico o igual a b"|       122
_1                                                  |   TIPOENT|                                                   1|          
_2                                                  |   TIPOENT|                                                   2|          
_a_es_mas_grande_que_b_y_c_es_mas_grande_que_b      |   TIPOCAD|     "a es mas grande que b y c es mas grande que b"|       231
_a_es_mas_grande_que_b_o_c_es_mas_grande_que_b      |   TIPOCAD|     "a es mas grande que b o c es mas grande que b"|       231
_a_no_es_mas_grande_que_b                           |   TIPOCAD|                          "a no es mas grande que b"|       120
_verderill                                          |   TIPOCAD|                                         "verderill"|        21
_lenguajesmpilad                                    |   TIPOCAD|                                   "lenguajesmpilad"|        33
